,model_version,score,count,sensical,query_type,rung,phenomenon,simpson
0,gpt-3.5-turbo,52.68,5000,,,,,
0,gpt-3.5-turbo,52.46,1563,-1.0,,,,
1,gpt-3.5-turbo,53.06,1877,0.0,,,,
2,gpt-3.5-turbo,52.44,1560,1.0,,,,
0,gpt-3.5-turbo,57.68,716,,ate,,,
1,gpt-3.5-turbo,49.74,784,,backadj,,,
2,gpt-3.5-turbo,53.16,79,,collider_bias,,,
3,gpt-3.5-turbo,55.2,683,,correlation,,,
4,gpt-3.5-turbo,55.95,697,,det-counterfactual,,,
5,gpt-3.5-turbo,47.34,638,,ett,,,
6,gpt-3.5-turbo,43.42,76,,exp_away,,,
7,gpt-3.5-turbo,51.06,801,,marginal,,,
8,gpt-3.5-turbo,53.64,151,,nde,,,
9,gpt-3.5-turbo,52.53,375,,nie,,,
0,gpt-3.5-turbo,52.5,1560,,,1.0,,
1,gpt-3.5-turbo,53.51,1579,,,2.0,,
2,gpt-3.5-turbo,52.12,1861,,,3.0,,
0,gpt-3.5-turbo,51.97,406,,,,IV,
1,gpt-3.5-turbo,55.61,642,,,,arrowhead,
2,gpt-3.5-turbo,54.83,549,,,,chain,
3,gpt-3.5-turbo,49.35,306,,,,collision,
4,gpt-3.5-turbo,51.54,456,,,,confounding,
5,gpt-3.5-turbo,52.53,554,,,,diamond,
6,gpt-3.5-turbo,53.03,462,,,,diamondcut,
7,gpt-3.5-turbo,49.07,483,,,,fork,
8,gpt-3.5-turbo,54.89,532,,,,frontdoor,
9,gpt-3.5-turbo,51.48,610,,,,mediation,
0,gpt-3.5-turbo,52.67,4697,,,,,False
1,gpt-3.5-turbo,52.81,303,,,,,True
